Setup title,SOICMOS-INV-nMOS-IdVd
Classic test name,"I/V Sweep"
Test date,5/29/2024
Test time,15:23:21
Device ID,
Count,1
Flags,!
Remarks,"#58 A0 NFET L6W24 VDID"
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU,SMU
Channel.Unit,SMU4:HR,SMU1:HR/AS,SMU2:HR/AS
Channel.IName,Is,Id,Ig
Channel.VName,Vs,Vd,Vg
Channel.Mode,COMMON,V,V
Channel.Func,CONST,VAR1,VAR2
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU1:HR/AS,SMU2:HR/AS
Measurement.Port.SeriesResistor,NONE,NONE,NONE
Measurement.Port.Filter,ON,ON,ON
Measurement.Port.OutputVoltageComparison,0,0,0
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.06
Measurement.Primary.Compliance,0.1
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.Start,0
Measurement.Secondary.Count,7
Measurement.Secondary.Step,0.5
Measurement.Secondary.Compliance,0.01
Measurement.Secondary.PowerCompliance,0
Measurement.Bias.Source,0,0,0
Measurement.Bias.Compliance,0.1,0.1,0.01
Measurement.Monitor.Unit,SMU1:HR/AS,SMU2:HR/AS,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50,50
Measurement.Timing.Hold,0.1
Measurement.Timing.Delay,0.1
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,1
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,Vd
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,0
Output.Graph.XAxis.Right,5
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,Id
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,0.005
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
Output.List.Data,Vd,Vg,Id,Is,Ig
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
